Company;URL
Walmart;http://www.stock.walmart.com
Exxon Mobil;http://www.exxonmobil.com
Apple;http://www.apple.com
Berkshire Hathaway;http://www.berkshirehathaway.com
Amazon.com;http://www.amazon.com
UnitedHealth Group;http://www.unitedhealthgroup.com
McKesson;http://www.mckesson.com
CVS Health;http://www.cvshealth.com
AT&T;http://www.att.com
AmerisourceBergen;http://www.amerisourcebergen.com
Chevron;http://www.chevron.com
Ford Motor;http://www.corporate.ford.com
General Motors;http://www.gm.com
Costco Wholesale;http://www.costco.com
Alphabet;http://www.abc.xyz
Cardinal Health;http://www.cardinalhealth.com
Walgreens Boots Alliance;http://www.walgreensbootsalliance.com
JPMorgan Chase;http://www.jpmorganchase.com
Verizon Communications;http://www.verizon.com
Kroger;http://www.thekrogerco.com
General Electric;http://www.ge.com
Fannie Mae;http://www.fanniemae.com
Phillips 66;http://www.phillips66.com
Valero Energy;http://www.valero.com
Bank of America;http://www.bankofamerica.com
Microsoft;http://www.microsoft.com
Home Depot;http://www.homedepot.com
Boeing;http://www.boeing.com
Wells Fargo;http://www.wellsfargo.com
Citigroup;http://www.citigroup.com
Marathon Petroleum;http://www.marathonpetroleum.com
Comcast;http://www.comcastcorporation.com
Anthem;http://www.antheminc.com
Dell Technologies;http://www.delltechnologies.com
DuPont de Nemours;http://www.dupont.com
State Farm Insurance;http://www.statefarm.com
Johnson & Johnson;http://www.jnj.com
IBM;http://www.ibm.com
Target;http://www.target.com
Freddie Mac;http://www.freddiemac.com
United Parcel Service;http://www.ups.com
Lowe's;http://www.lowes.com
Intel;http://www.intel.com
MetLife;http://www.metlife.com
Procter & Gamble;http://www.pg.com
United Technologies;http://www.utc.com
FedEx;http://www.fedex.com
PepsiCo;http://www.pepsico.com
Archer Daniels Midland;http://www.adm.com
Prudential Financial;http://www.prudential.com
Centene;http://www.centene.com
Albertsons;http://www.albertsonscompanies.com
Walt Disney;http://www.thewaltdisneycompany.com
Sysco;http://www.sysco.com
HP;http://www.hp.com
Humana;http://www.humana.com
Facebook;http://www.facebook.com
Caterpillar;http://www.caterpillar.com
Energy Transfer;http://www.energytransfer.com
Lockheed Martin;http://www.lockheedmartin.com
Pfizer;http://www.pfizer.com
Goldman Sachs Group;http://www.gs.com
Morgan Stanley;http://www.morganstanley.com
Cisco Systems;http://www.cisco.com
Cigna;http://www.cigna.com
AIG;http://www.aig.com
HCA Healthcare;www.hcahealthcare.com
American Airlines Group;http://www.aa.com
Delta Air Lines;http://www.delta.com
Charter Communications;http://www.charter.com
New York Life Insurance;http://www.newyorklife.com
American Express;http://www.americanexpress.com
Nationwide;http://www.nationwide.com
Best Buy;http://www.bestbuy.com
Liberty Mutual Insurance Group;http://www.libertymutual.com
Merck;http://www.merck.com
Honeywell International;http://www.honeywell.com
United Continental Holdings;http://www.united.com
TIAA;http://www.tiaa.org
Tyson Foods;http://www.tysonfoods.com
Oracle;http://www.oracle.com
Allstate;http://www.allstate.com
World Fuel Services;http://www.wfscorp.com
Massachusetts Mutual Life Insurance;http://www.massmutual.com
TJX;http://www.tjx.com
ConocoPhillips;http://www.conocophillips.com
Deere;http://www.johndeere.com
Tech Data;http://www.techdata.com
Enterprise Products Partners;http://www.enterpriseproducts.com
Nike;http://www.nike.com
Publix Super Markets;http://www.publix.com
General Dynamics;http://www.generaldynamics.com
Exelon;http://www.exeloncorp.com
Plains GP Holdings;http://www.plainsallamerican.com
3M;http://www.3m.com
AbbVie;http://www.abbvie.com
CHS;http://www.chsinc.com
Capital One Financial;http://www.capitalone.com
Progressive;http://www.progressive.com
Coca-Cola;http://www.coca-colacompany.com
